dataset,public_image_id,portion_id,storage_day,technical_replicate,label_name,label,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77
beef,beef_portion01_day0_rep1,beef_portion01,0,1,Fresh,0,0.5749559,0.3220767,0.19626115,0.028477598,0.031976357,0.03653733,0.053436115,0.6588355,0.5749559,0.003179699,0.049428172,0.028477598,0.42319536,0.09970303,0.120747164,0.030334864,0.0050175046,0.007831487,0.7533969,0.49330485,0.0066123037,0.023450943,0.031207226,0.019989157,0.10651823,0.9901647,0.7533969,0.0041242074,0.025620183,0.023450943,0.5864855,0.08189895,0.250945,0.026450755,0.007390341,0.008759488,0.15629697,0.2553138,0.23131803,0.035854187,0.03532958,0.03624363,0.45741352,0.3927157,0.2553138,0.013062865,0.05720936,0.03532958,0.25339538,0.95942235,0.10571368,0.039444488,0.0031841255,0.30329707,0.4958746,0.43383458,0.06132156,0.023341613,0.024764089,0.045492094,0.14092976,0.8777176,0.4958746,0.0029547613,0.08588462,0.023341613,0.46992186,0.56453663,0.19073017,0.02425257,0.49435014,0.006774558,0.20959993,0.87645614,0.47238892,0.9497834,0.50015205,0.45830804
beef,beef_portion01_day0_rep2,beef_portion01,0,2,Fresh,0,0.5959144,0.36743072,0.2700233,0.028328935,0.036089133,0.03695221,0.048056338,0.54653656,0.5959144,0.0034686562,0.04367408,0.028328935,0.4605305,0.088355675,0.09705678,0.03303162,0.0076702884,0.0065887216,0.7689624,0.5251736,0.03693631,0.020942459,0.022708692,0.041857302,0.10912538,0.9509551,0.7689624,0.0032651557,0.052838106,0.020942459,0.61114615,0.07229327,0.25263146,0.020616982,0.004134735,0.008613314,0.16977057,0.27017227,0.25194356,0.034855757,0.035065174,0.035611086,0.46742028,0.37526995,0.27017227,0.006426585,0.04922377,0.035065174,0.2701901,0.95965356,0.4500932,0.038705982,0.0027327358,0.49711937,0.50140107,0.44359592,0.100975655,0.023194013,0.026250757,0.04059952,0.14076331,0.7994606,0.50140107,0.0035441874,0.07386557,0.023194013,0.4788226,0.6530007,0.18194956,0.025368517,0.47356716,0.0066769198,0.21713258,0.959179,0.571284,0.97090185,0.5997721,0.45767295
beef,beef_portion01_day0_rep3,beef_portion01,0,3,Fresh,0,0.60013074,0.37225524,0.27354902,0.02980642,0.03713409,0.039674215,0.048681706,0.54401636,0.60013074,0.0032203754,0.04696189,0.02980642,0.4651186,0.0877303,0.097434826,0.034056097,0.0075971363,0.0074178763,0.7723244,0.52389234,0.03676992,0.020125382,0.022315942,0.040337145,0.108199745,0.95108116,0.7723244,0.0037929052,0.05113099,0.020125382,0.6114875,0.0743997,0.25295871,0.019961333,0.004544616,0.00923125,0.16724563,0.2673406,0.2499286,0.032759503,0.033866405,0.03425488,0.46865726,0.37724805,0.26734197,0.009184024,0.04531554,0.033864073,0.26712236,0.95977867,0.46344912,0.037192617,0.0032860297,0.49775022,0.49917048,0.44086164,0.087516345,0.024509637,0.025628261,0.048706453,0.14103387,0.8264817,0.49917048,0.003707447,0.09094333,0.024509637,0.47627303,0.61295897,0.18486834,0.025174586,0.4847192,0.00830614,0.21398422,0.9662491,0.5325732,0.9730311,0.55943304,0.49156398
beef,beef_portion02_day0_rep1,beef_portion02,0,1,Fresh,0,0.56130797,0.3474084,0.26505053,0.024983814,0.03377718,0.037171334,0.044482067,0.5276836,0.56130797,0.004007324,0.049364854,0.024983814,0.43578413,0.08408953,0.086727686,0.030327262,0.0074310685,0.007629979,0.69768345,0.4457289,0.032539867,0.04120589,0.07165737,0.052166402,0.10139565,0.95493853,0.69768345,0.009038297,0.06940027,0.04120589,0.539434,0.082981415,0.23038474,0.057570677,0.020319743,0.011552034,0.21884699,0.29824415,0.2613168,0.0482897,0.03986096,0.040012352,0.42037585,0.27229923,0.29824415,0.0127484985,0.0660327,0.03986096,0.3036331,0.96533793,0.011706567,0.045006353,0.0053306855,0.0025487505,0.4650711,0.3627256,0.008191299,0.020859037,0.024038892,0.015128195,0.12742525,0.9817116,0.4650711,0.0032113327,0.029557066,0.020859037,0.4094,0.020720428,0.18612964,0.02345068,0.0043573324,0.0055882917,0.1771493,0.8942543,0.12079948,0.9391354,0.15081045,0.9663914
beef,beef_portion02_day0_rep2,beef_portion02,0,2,Fresh,0,0.56429905,0.35161003,0.27129197,0.023926314,0.03161021,0.036833663,0.04348018,0.5189828,0.56429905,0.0039364067,0.049071196,0.023926314,0.4397096,0.08358118,0.085135885,0.028703129,0.0062994957,0.008377994,0.70154285,0.4489696,0.03949502,0.041276764,0.07445456,0.058074515,0.10098549,0.9457071,0.70154285,0.009301428,0.07717998,0.041276764,0.5428483,0.083070815,0.22979984,0.05930713,0.021431576,0.0113210175,0.2053008,0.28689778,0.24977624,0.042232383,0.03559658,0.03658556,0.42239514,0.2890335,0.28689778,0.010331802,0.058225457,0.03559658,0.2907529,0.9641533,0.011732188,0.04029082,0.004536817,0.0019752844,0.46094126,0.35680407,0.004908885,0.018894613,0.020978676,0.0074601574,0.12669018,0.98826367,0.46094126,0.0031972853,0.015865706,0.018894613,0.40389547,0.022006404,0.18530072,0.020609459,0.004094223,0.0057500405,0.17766686,0.8960934,0.12291095,0.9420254,0.15816738,0.9646596
beef,beef_portion02_day0_rep3,beef_portion02,0,3,Fresh,0,0.56093735,0.346762,0.26103872,0.023824887,0.033273645,0.03792009,0.04573714,0.534403,0.56093735,0.004186522,0.05235032,0.023824887,0.43514213,0.08401923,0.08873894,0.029651651,0.0074986457,0.008933544,0.7049142,0.45452622,0.040362697,0.039697498,0.07344799,0.058105297,0.101833835,0.94465417,0.7049142,0.009155292,0.077161655,0.039697498,0.54736483,0.0816077,0.23108752,0.05820587,0.021394474,0.010813245,0.21175472,0.28934819,0.25454468,0.039522115,0.03513012,0.036217067,0.42359185,0.27152222,0.28934819,0.005357467,0.048206694,0.03513012,0.29431757,0.96567893,0.011169375,0.039420843,0.0039704503,0.0016759145,0.46403402,0.36176953,0.0058536534,0.018868225,0.021471804,0.010623328,0.12757394,0.9865036,0.46403402,0.0032023846,0.02162696,0.018868225,0.4083591,0.020754566,0.18638323,0.020816159,0.0042494126,0.0052949116,0.1812812,0.8961988,0.11939076,0.94550455,0.1581903,0.9677745
beef,beef_portion03_day0_rep1,beef_portion03,0,1,Fresh,0,0.5762526,0.33602974,0.2389406,0.019599719,0.021219805,0.021289483,0.04696651,0.5839603,0.5762526,0.001429504,0.024373775,0.019599719,0.43299448,0.09499084,0.10111083,0.020497333,0.0033794844,0.0029767123,0.73907775,0.5061618,0.0038645288,0.016929504,0.02294883,0.00478039,0.11200112,0.99372864,0.73907775,0.0031250182,0.0071323887,0.016929504,0.5898244,0.06871424,0.25129676,0.019388478,0.005885369,0.0056953263,0.15202494,0.2417322,0.20363021,0.020609222,0.021942042,0.02384849,0.42704004,0.3714684,0.2417322,0.01734908,0.037129655,0.021942042,0.2388978,0.96041375,0.014359347,0.024535993,0.0028414389,0.048045926,0.45282406,0.36922193,0.02713086,0.023998091,0.025555952,0.02459172,0.13183497,0.9405695,0.45282406,0.0030981833,0.050005384,0.023998091,0.4107575,0.0114336135,0.18076354,0.025512435,0.0043046875,0.0049609724,0.21872789,0.8911544,0.1175621,0.9871255,0.20080078,0.9786672
beef,beef_portion03_day0_rep2,beef_portion03,0,2,Fresh,0,0.58136,0.33990312,0.2478415,0.01895128,0.019867714,0.019608848,0.044018637,0.5722035,0.58136,0.0022187773,0.022947239,0.01895128,0.4377089,0.09574877,0.09825877,0.019402621,0.0034895032,0.0040160916,0.7475684,0.51438963,0.0036868963,0.017505653,0.023722438,0.0043497183,0.11253599,0.99392724,0.7475684,0.0031417743,0.006515632,0.017505653,0.5976351,0.06825847,0.2538009,0.020080646,0.0059210635,0.006017883,0.14779797,0.23736581,0.20285097,0.018526457,0.019893913,0.022126123,0.43372908,0.37717414,0.23736581,0.0140968645,0.039595418,0.019893913,0.23418716,0.9609387,0.009443741,0.022354668,0.0033925786,0.004825145,0.45536172,0.37197506,0.037025232,0.02381148,0.026852455,0.031565078,0.13129182,0.9196751,0.45536172,0.0034122907,0.06384221,0.02381148,0.41361853,0.03167989,0.17892508,0.02633618,0.1392012,0.005106692,0.22477868,0.8932317,0.1057933,0.9943253,0.20200612,0.96147877
beef,beef_portion03_day0_rep3,beef_portion03,0,3,Fresh,0,0.58016104,0.33901083,0.24798478,0.018749109,0.02002972,0.021097114,0.04364191,0.5710924,0.58016104,0.0019226182,0.025346326,0.018749109,0.43667874,0.0957569,0.0977287,0.019415723,0.0033920752,0.0043248665,0.74647135,0.5079537,0.0037426737,0.016772745,0.02138787,0.0047372566,0.111496866,0.99393004,0.74647135,0.0028195505,0.007035124,0.016772745,0.59313333,0.07113356,0.2526899,0.01827656,0.0048640124,0.005510143,0.14757654,0.23543188,0.1982759,0.018536521,0.019987186,0.021239292,0.42774114,0.373083,0.23543188,0.013339533,0.03940451,0.019987186,0.23204058,0.96102947,0.011789407,0.022411317,0.0035709555,0.018608639,0.45249623,0.36434746,0.03234662,0.021285182,0.021358082,0.027843501,0.12951878,0.92903686,0.45249623,0.0023820465,0.05768811,0.021285182,0.4071032,0.014174146,0.17815162,0.021665804,0.0029196048,0.004900547,0.22157915,0.8932855,0.11831443,0.99011904,0.20834474,0.9771685
beef,beef_portion04_day0_rep1,beef_portion04,0,1,Fresh,0,0.5377802,0.30685484,0.22242361,0.028555183,0.032132268,0.032916185,0.042252075,0.58671,0.5377802,0.004728553,0.04062899,0.028555183,0.40161335,0.09329319,0.093859285,0.030940894,0.0052169138,0.0059517943,0.73483133,0.52082604,0.0042710947,0.029749215,0.039912082,0.0055724713,0.115823455,0.99319065,0.73483133,0.005112169,0.008215055,0.029749215,0.59771484,0.05923919,0.25285837,0.033891656,0.010252089,0.010232735,0.1514132,0.23843104,0.20274757,0.03701755,0.03297663,0.027118485,0.42765984,0.37102228,0.23843104,0.03167528,0.0705517,0.03297663,0.23557436,0.9616218,0.019284137,0.03705871,0.0030435033,0.08985553,0.45015383,0.37349868,0.042507384,0.03759511,0.039155982,0.051421694,0.13334128,0.9106038,0.45015383,0.0026118578,0.09246609,0.03759511,0.41287902,0.012093685,0.17642996,0.039141607,0.061262198,0.006926117,0.25474727,0.88720065,0.116353735,0.9999985,0.20549521,0.9786396
