dataset,public_image_id,portion_id,storage_day,technical_replicate,label_name,label,feature_00,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77
pork,pork_portion01_day0_rep1,pork_portion01,0,1,Fresh,0,0.199384,0.4050444,0.39878407,0.0577567,0.053825483,0.05469589,0.49249172,0.51764923,0.40538937,0.0056490307,0.09475859,0.0537367,0.40066707,0.9314261,0.9850273,0.055992045,0.0032415083,0.003922314,0.7146684,0.5190932,0.10962807,0.036037628,0.036990743,0.0560012,0.11092551,0.84812206,0.7146684,0.0023241225,0.07255073,0.036037628,0.59094644,0.052775253,0.22650914,0.035001997,0.004335889,0.004432536,0.9341457,0.59751403,0.0012616746,0.035050444,0.043781716,0.015590739,0.10444992,0.9987111,0.9341457,0.0042099184,0.015707131,0.035050444,0.7065437,0.105431475,0.2937396,0.03599266,0.0101743955,0.0107245315,0.86917657,0.31135207,0.20589179,0.04776869,0.052665338,0.05234722,0.024866378,0.7638243,0.86917657,0.002928038,0.050053872,0.04776869,0.5415231,0.21706885,0.18159077,0.04207626,0.0046902467,0.0075927344,1.1762582,1.1196903,1.0842772,0.14371964,0.17734914,0.22863083
pork,pork_portion02_day0_rep1,pork_portion02,0,1,Fresh,0,0.16800874,0.39489818,0.39929324,0.064603746,0.058233246,0.060080096,0.5006728,0.5941177,0.4003015,0.00445489,0.11683105,0.059423074,0.38872898,0.9288985,0.97811204,0.060513176,0.002730892,0.0041400734,0.8090044,0.59734404,0.0034859898,0.046320785,0.046102386,0.01660474,0.12082011,0.9959095,0.8090044,0.0041001225,0.018644575,0.046320785,0.6680667,0.052111723,0.27525464,0.041925892,0.008885876,0.012708504,0.93611413,0.586948,0.0,0.02359791,0.023844587,0.0,0.10251276,1.0,0.93611413,0.002857355,0.0,0.02359791,0.70122087,0.11150686,0.2928174,0.020337222,0.0069041047,0.006508412,0.90566236,0.3095677,0.18965134,0.03392264,0.03711472,0.040564146,0.025678286,0.79002494,0.90566236,0.0020349598,0.03861569,0.03392264,0.5566178,0.22996645,0.19788492,0.029425457,0.0037916405,0.007516659,1.1579262,1.1114895,1.0608709,0.07025264,0.22369449,0.20965424
pork,pork_portion03_day0_rep1,pork_portion03,0,1,Fresh,0,0.17908187,0.39562976,0.3929121,0.06722091,0.06316479,0.06335288,0.49555102,0.5653808,0.3966383,0.004535296,0.123746954,0.06296322,0.389814,0.9296663,0.9827478,0.06593232,0.0028175965,0.0034889886,0.73622006,0.5262951,0.049539376,0.044751063,0.04353246,0.055430334,0.11353781,0.93509096,0.73622006,0.0025615531,0.069492444,0.044751063,0.6016612,0.05752699,0.24537589,0.04147715,0.004084343,0.0067977943,0.9289501,0.7464964,0.03297711,0.02662529,0.026003597,0.049526203,0.13093334,0.9637539,0.9289501,0.0023741785,0.053148597,0.02662529,0.7955969,0.028869072,0.31094062,0.02335897,0.0030242458,0.008886102,0.88105065,0.26438564,0.13564299,0.04652957,0.046982836,0.050618757,0.026626695,0.84666115,0.88105065,0.002706032,0.051862776,0.04652957,0.52854645,0.23714541,0.21138605,0.037717413,0.00362352,0.00737346,1.1615608,1.1947469,1.0458636,0.20671494,0.19688538,0.35299587
pork,pork_portion04_day0_rep1,pork_portion04,0,1,Fresh,0,0.22129065,0.42384097,0.39630044,0.070409834,0.06519058,0.06416552,0.47543842,0.4913151,0.42384097,0.005700739,0.10814141,0.06519058,0.41873354,0.92765325,0.9865159,0.06757576,0.004139651,0.10226775,0.7817379,0.63171756,0.18158472,0.046864007,0.050308388,0.06645331,0.12300677,0.769827,0.7817379,0.0025744014,0.075576216,0.046864007,0.68380123,0.025630135,0.23726928,0.046131395,0.0062461174,0.0076253065,0.93656015,0.62697566,0.001600306,0.044633623,0.054462243,0.014506555,0.109365754,0.99835306,0.93656015,0.005204831,0.0146397585,0.044633623,0.724466,0.09167657,0.29811174,0.045079306,0.012884572,0.013518864,0.8701279,0.30457184,0.1773992,0.03701884,0.035856374,0.038816698,0.028376399,0.7956129,0.8701279,0.0018827058,0.036869444,0.03701884,0.5384278,0.21977831,0.19475137,0.030813033,0.0041126204,0.006192437,1.2021968,1.1252687,1.0687865,0.098577686,0.24624117,0.24840215
pork,pork_portion05_day0_rep1,pork_portion05,0,1,Fresh,0,0.18398803,0.37101534,0.3169727,0.063059084,0.060063295,0.061738618,0.4490623,0.51719594,0.37101534,0.01576894,0.108206205,0.060063295,0.36429045,0.9267105,0.11911896,0.06300406,0.004737516,0.30625495,0.7884217,0.5588052,0.009735772,0.045083936,0.042140823,0.034872863,0.11553343,0.988039,0.7884217,0.0037500449,0.041657824,0.045083936,0.6378273,0.06311141,0.26519555,0.0391255,0.009693259,0.01193755,0.95931834,0.59695226,0.0,0.021451265,0.026020115,0.0,0.10172653,1.0,0.95931834,0.0033667053,0.0,0.021451265,0.7144917,0.11621403,0.2977074,0.020350035,0.009063217,0.006209758,0.87205553,0.32471365,0.19842198,0.038005386,0.047911517,0.050312318,0.02930711,0.77221966,0.87205553,0.0023895279,0.050317887,0.038005386,0.5480333,0.21253398,0.18787782,0.03572979,0.0093001,0.011298463,0.917586,0.9007992,0.7406331,0.0987641,0.19070421,0.22146891
pork,pork_portion06_day0_rep1,pork_portion06,0,1,Fresh,0,0.20142563,0.41145265,0.3504018,0.048083704,0.04341066,0.042981807,0.4494009,0.51533437,0.41145265,0.013039287,0.07073918,0.04341066,0.40325606,0.91883254,0.01246851,0.044603746,0.0031742384,0.02001838,0.80255073,0.63418794,0.17415613,0.0679449,0.0740974,0.10572828,0.11977795,0.7897346,0.80255073,0.0030498675,0.112926275,0.0679449,0.6906943,0.03366669,0.24118496,0.06757533,0.0068086474,0.017224826,0.9281691,0.70157504,0.0014928395,0.032668464,0.03944419,0.009576568,0.12378935,0.9983161,0.9281691,0.004445115,0.010211694,0.032668464,0.76712894,0.050650716,0.30780146,0.032236725,0.011865739,0.009769857,0.88817024,0.345284,0.22662039,0.045061115,0.04811896,0.051662624,0.027865702,0.74511844,0.88817024,0.0018159143,0.046202995,0.045061115,0.5638261,0.21052897,0.18090421,0.0404158,0.004604944,0.008507717,0.9583583,0.9865925,0.74555165,0.10280308,0.225853,0.2880903
pork,pork_portion07_day0_rep1,pork_portion07,0,1,Fresh,0,0.19991551,0.42023104,0.40133077,0.049739797,0.045068044,0.045067716,0.48307383,0.52987957,0.42023104,0.001702914,0.0714607,0.045068044,0.41397405,0.92449695,0.9916418,0.046695545,0.0026994995,0.0014931445,0.66834605,0.45399937,0.012834051,0.04448948,0.0430513,0.024215225,0.11002041,0.98146236,0.66834605,0.003074529,0.034053408,0.04448948,0.53434694,0.065162644,0.2312567,0.04166668,0.0042258594,0.011271242,0.9321452,0.64419925,0.0025896644,0.040218875,0.048314936,0.018675406,0.11296399,0.9973253,0.9321452,0.004088089,0.01896082,0.040218875,0.7333304,0.08116155,0.2998244,0.040679894,0.009524269,0.012032281,0.8736926,0.3200612,0.19563086,0.050214283,0.052843425,0.055761833,0.028583968,0.7771364,0.8736926,0.0018290586,0.053276602,0.050214283,0.5466462,0.21488838,0.18887971,0.043954764,0.00400301,0.008134045,1.1537464,1.1365801,1.0796171,0.21107326,0.15609251,0.2550345
pork,pork_portion08_day0_rep1,pork_portion08,0,1,Fresh,0,0.10101838,0.31829417,0.30592775,0.06015767,0.068427324,0.0834207,0.48685756,0.70857733,0.32216668,0.0153767085,0.13606592,0.07427385,0.30816424,0.9290237,0.81420875,0.07211521,0.0038233416,0.37328088,0.7212795,0.57493454,0.12487466,0.040260583,0.040579017,0.058942385,0.12371522,0.828437,0.7212795,0.002368095,0.072653234,0.040260583,0.6295291,0.026966678,0.23452066,0.038348068,0.004317899,0.007298427,0.92416394,0.63061583,0.0,0.03858259,0.042789154,0.0,0.11168451,1.0,0.92416394,0.0034541294,0.0,0.03858259,0.7227268,0.08459077,0.29707462,0.037135463,0.0067354515,0.01149972,0.8411546,0.2414146,0.13850297,0.0341308,0.038988937,0.042996887,0.022413844,0.83509624,0.8411546,0.003844266,0.04654313,0.0341308,0.50205535,0.23230591,0.19840243,0.028746504,0.0064252913,0.007728596,1.1193839,1.0734788,0.9498562,0.12617189,0.24437326,0.28328758
pork,pork_portion09_day0_rep1,pork_portion09,0,1,Fresh,0,0.14878723,0.2891476,0.20705937,0.04187824,0.04736435,0.054575972,0.39655477,0.49354592,0.2891476,0.030531932,0.08013871,0.04736435,0.28115225,0.93487084,0.03900637,0.050966736,0.005512437,0.07478301,0.73671854,0.5521893,0.03901732,0.03740511,0.043817062,0.048451025,0.120623566,0.9481746,0.73671854,0.0038341046,0.06262087,0.03740511,0.6184284,0.044055637,0.25212765,0.03883198,0.009654616,0.0076985867,0.9059637,0.6815078,2.5613546e-05,0.030207453,0.037054017,0.0005386075,0.12321754,0.9999622,0.9059637,0.0033389577,0.00073334674,0.030207453,0.7484368,0.05122643,0.30182534,0.03105331,0.008242016,0.009585039,0.8859849,0.31684864,0.20727396,0.04065157,0.045815915,0.04755655,0.024934126,0.76609176,0.8859849,0.0023282468,0.04392106,0.04065157,0.5510591,0.22062938,0.18567427,0.036669653,0.0045883446,0.007867038,0.9760777,1.0335648,0.7774973,0.1393681,0.20033212,0.28486204
pork,pork_portion10_day0_rep1,pork_portion10,0,1,Fresh,0,0.16576529,0.35786837,0.2914451,0.027914723,0.026762811,0.031503137,0.43960232,0.5378635,0.35786837,0.012635619,0.050385904,0.026762811,0.3495505,0.9222542,0.017740851,0.028223017,0.0026567404,0.007416766,0.71695626,0.5295178,0.02578774,0.043009024,0.043691754,0.045967005,0.11950058,0.96578044,0.71695626,0.0025724263,0.058439635,0.043009024,0.59781694,0.04700086,0.24768096,0.041211355,0.0039659664,0.009276006,0.89060163,0.6270628,0.0,0.038896155,0.04141888,0.0,0.11533837,1.0,0.89060163,0.0033464802,0.0,0.038896155,0.71050394,0.07207844,0.2917439,0.03655369,0.006596702,0.011613524,0.891827,0.29740193,0.2004385,0.026654294,0.026715342,0.02759887,0.020936158,0.77392924,0.891827,0.0018561091,0.024911646,0.026654294,0.54595363,0.23037674,0.18764246,0.022382386,0.0019366542,0.004914814,0.9383907,0.9634126,0.7390096,0.123566926,0.19980274,0.25094274
