dataset,fold,model,n_image_units,accuracy,macro_precision,macro_recall,macro_f1,macro_auc
beef,1,Spot-CNN,210,0.9047619047619048,0.9136700020846362,0.8666666666666667,0.8845274988086463,0.9926851851851852
beef,1,ShuffleNetV2-0.5x,210,0.8857142857142857,0.8487411711095922,0.8814814814814814,0.8611269381832547,0.9718518518518519
beef,1,EfficientNet-Lite0,210,0.8476190476190476,0.7988505747126436,0.8296296296296296,0.8081973644521181,0.9584259259259259
beef,1,MobileNetV3-Small,210,0.8285714285714286,0.7924792139077853,0.8148148148148148,0.7949166322688782,0.9544753086419752
beef,1,Tiny-MLP,210,0.8904761904761904,0.8763504694539176,0.8703703703703703,0.8732736107209372,0.9857098765432099
beef,2,Spot-CNN,210,0.919047619047619,0.8989035087719298,0.9074074074074074,0.9021184525939328,0.9802777777777777
beef,2,ShuffleNetV2-0.5x,210,0.8476190476190476,0.8123661867847914,0.8518518518518517,0.8264678807782255,0.9455864197530864
beef,2,EfficientNet-Lite0,210,0.8714285714285714,0.8556882185914443,0.8703703703703703,0.8619672729339207,0.940925925925926
beef,2,MobileNetV3-Small,210,0.8333333333333334,0.8006105006105005,0.8481481481481481,0.815873015873016,0.9535493827160494
beef,2,Tiny-MLP,210,0.919047619047619,0.890311139579849,0.9296296296296296,0.9056319929101585,0.980679012345679
beef,3,Spot-CNN,210,0.8952380952380953,0.8872141604100366,0.837037037037037,0.8557759540859964,0.986358024691358
beef,3,ShuffleNetV2-0.5x,210,0.8523809523809524,0.8293224099675712,0.8333333333333334,0.8299402150300761,0.9642592592592593
beef,3,EfficientNet-Lite0,210,0.9,0.8513931449324708,0.862962962962963,0.8565985123012302,0.9630555555555557
beef,3,MobileNetV3-Small,210,0.8142857142857143,0.7800253244697689,0.8111111111111112,0.7907534536825155,0.9389814814814814
beef,3,Tiny-MLP,210,0.9523809523809523,0.943515615929409,0.9629629629629629,0.9524257914088423,0.9974074074074073
beef,4,Spot-CNN,210,0.9523809523809523,0.9292929292929294,0.9629629629629629,0.9433946203609125,0.996172839506173
beef,4,ShuffleNetV2-0.5x,210,0.8857142857142857,0.8510483769104459,0.8888888888888888,0.8649997035380615,0.9540432098765432
beef,4,EfficientNet-Lite0,210,0.8714285714285714,0.8561709386451654,0.8851851851851853,0.866153610782001,0.9728703703703703
beef,4,MobileNetV3-Small,210,0.8380952380952381,0.8153987228748628,0.8592592592592592,0.8290532385160031,0.9523148148148147
beef,4,Tiny-MLP,210,0.9666666666666667,0.9499147485080989,0.9740740740740742,0.9603464064670962,0.9897222222222223
pork,1,Spot-CNN,210,0.9333333333333333,0.8939393939393939,0.9361111111111112,0.9028177113283496,0.9970987654320989
pork,1,ShuffleNetV2-0.5x,210,0.9095238095238095,0.8586502497256379,0.875,0.857266028422984,0.9391358024691359
pork,1,EfficientNet-Lite0,210,0.919047619047619,0.87777550044408,0.9,0.8801218621479096,0.9698456790123458
pork,1,MobileNetV3-Small,210,0.9238095238095239,0.8781815139808847,0.8861111111111111,0.8820349166627768,0.9520987654320988
pork,1,Tiny-MLP,210,0.919047619047619,0.8794326241134751,0.9305555555555557,0.8896103896103895,0.9758641975308642
pork,2,Spot-CNN,210,0.9619047619047619,0.9304237824161922,0.9611111111111111,0.9443218439120079,0.9979691358024692
pork,2,ShuffleNetV2-0.5x,210,0.8857142857142857,0.8197777777777778,0.7972222222222222,0.8067511853226139,0.9716296296296297
pork,2,EfficientNet-Lite0,210,0.9095238095238095,0.8688712235921839,0.8416666666666667,0.850321481041285,0.9505987654320988
pork,2,MobileNetV3-Small,210,0.8809523809523809,0.812215320910973,0.8305555555555556,0.8200218221494818,0.9647283950617284
pork,2,Tiny-MLP,210,0.9619047619047619,0.9315232240437158,0.9472222222222223,0.9389957333459319,0.9972592592592592
pork,3,Spot-CNN,210,0.9761904761904762,0.9688814129520605,0.9555555555555556,0.9619864685778058,0.9985802469135803
pork,3,ShuffleNetV2-0.5x,210,0.9380952380952381,0.8960925039872407,0.9055555555555556,0.9000203500203501,0.989530864197531
pork,3,EfficientNet-Lite0,210,0.9619047619047619,0.942906785058634,0.9388888888888888,0.9403920282319881,0.997395061728395
pork,3,MobileNetV3-Small,210,0.8904761904761904,0.8347190083762973,0.8555555555555556,0.8307005955983615,0.9688518518518517
pork,3,Tiny-MLP,210,0.9571428571428572,0.9235352532274081,0.9527777777777778,0.9328409410196485,0.9971481481481481
pork,4,Spot-CNN,210,0.9333333333333333,0.8928826075884899,0.9138888888888889,0.9005363807255748,0.9941666666666666
pork,4,ShuffleNetV2-0.5x,210,0.8904761904761904,0.8230019493177387,0.8472222222222222,0.833048433048433,0.9189382716049382
pork,4,EfficientNet-Lite0,210,0.9142857142857143,0.8637254901960784,0.8833333333333334,0.8672737955346651,0.965185185185185
pork,4,MobileNetV3-Small,210,0.861904761904762,0.8242504409171075,0.725,0.7412311265969803,0.9342283950617284
pork,4,Tiny-MLP,210,0.9619047619047619,0.9596975260075181,0.9249999999999999,0.9397880852647095,0.9898271604938271
