dataset,model,completed_folds,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd,macro_auc_mean,macro_auc_sample_sd
beef,EfficientNet-Lite0,4,0.8726190476190476,0.021428571428571422,0.840525719220431,0.027866305157398314,0.862037037037037,0.023497365815647323,0.8482291901173176,0.026972902424145587,0.9588194444444444,0.013362958985176308
beef,MobileNetV3-Small,4,0.8285714285714286,0.010286889997472808,0.7971284404657294,0.014833069434203042,0.8333333333333333,0.02400274332743643,0.8076490850851032,0.018012482124972758,0.9498302469135802,0.0072864568123415215
beef,ShuffleNetV2-0.5x,4,0.8678571428571429,0.020711092620158553,0.8353695361931002,0.01816909909863509,0.8638888888888888,0.025903870689329964,0.8456336843824045,0.02023772565763641,0.9589351851851852,0.011508069683278228
beef,Spot-CNN,4,0.9178571428571428,0.025009446439029703,0.907270150139883,0.018241018962421515,0.8935185185185185,0.05454848545707498,0.896454131462372,0.03666266362862106,0.9888734567901235,0.007024323400866067
beef,Tiny-MLP,4,0.9321428571428572,0.03420073242288136,0.9150229933678187,0.03712817412117006,0.9342592592592592,0.0465916504644783,0.9229194503767586,0.04096733163583198,0.9883796296296297,0.007064710764802456
pork,EfficientNet-Lite0,4,0.9261904761904762,0.024124895481858217,0.8883197498227441,0.036851270398401796,0.8909722222222223,0.040277777777777725,0.8845272917389619,0.03919182402012764,0.9707561728395061,0.01956030314247594
pork,MobileNetV3-Small,4,0.8892857142857142,0.025900268050921806,0.8373415710463157,0.028737228512742224,0.8243055555555556,0.06999320219785256,0.8184971152519,0.05819030524821185,0.9549768518518518,0.015560527632284526
pork,ShuffleNetV2-0.5x,4,0.905952380952381,0.0237698081458285,0.8493806202020988,0.03577750073013688,0.85625,0.04600137544910891,0.8492714992035952,0.03962542670505409,0.9548086419753087,0.03173273656867099
pork,Spot-CNN,4,0.9511904761904761,0.021428571428571432,0.9215317992240342,0.036070164476313414,0.9416666666666667,0.021396703719058042,0.9274156011359346,0.030596920288060325,0.9969537037037037,0.001954939343616575
pork,Tiny-MLP,4,0.95,0.02075666163590802,0.9235471568480293,0.03324935577502045,0.9388888888888889,0.013224867460264581,0.9253087873101699,0.02400063540045764,0.9900246913580246,0.010060503851360056
