scope,dataset,model,fold,true_class,predicted_Fresh,predicted_Sub-fresh,predicted_Spoiled
fixed_test,beef,EfficientNet-Lite0,,Fresh,27,3,0
fixed_test,beef,EfficientNet-Lite0,,Sub-fresh,0,10,0
fixed_test,beef,EfficientNet-Lite0,,Spoiled,2,2,26
fixed_test,beef,MobileNetV3-Small,,Fresh,27,3,0
fixed_test,beef,MobileNetV3-Small,,Sub-fresh,2,8,0
fixed_test,beef,MobileNetV3-Small,,Spoiled,2,2,26
fixed_test,beef,ShuffleNetV2-0.5x,,Fresh,29,1,0
fixed_test,beef,ShuffleNetV2-0.5x,,Sub-fresh,2,8,0
fixed_test,beef,ShuffleNetV2-0.5x,,Spoiled,2,2,26
fixed_test,beef,Spot-CNN,,Fresh,27,2,1
fixed_test,beef,Spot-CNN,,Sub-fresh,0,10,0
fixed_test,beef,Spot-CNN,,Spoiled,3,0,27
fixed_test,beef,Tiny-MLP,,Fresh,28,1,1
fixed_test,beef,Tiny-MLP,,Sub-fresh,1,9,0
fixed_test,beef,Tiny-MLP,,Spoiled,3,0,27
fixed_test,pork,EfficientNet-Lite0,,Fresh,40,0,0
fixed_test,pork,EfficientNet-Lite0,,Sub-fresh,0,5,5
fixed_test,pork,EfficientNet-Lite0,,Spoiled,0,0,20
fixed_test,pork,MobileNetV3-Small,,Fresh,40,0,0
fixed_test,pork,MobileNetV3-Small,,Sub-fresh,0,4,6
fixed_test,pork,MobileNetV3-Small,,Spoiled,0,0,20
fixed_test,pork,ShuffleNetV2-0.5x,,Fresh,40,0,0
fixed_test,pork,ShuffleNetV2-0.5x,,Sub-fresh,1,6,3
fixed_test,pork,ShuffleNetV2-0.5x,,Spoiled,0,0,20
fixed_test,pork,Spot-CNN,,Fresh,40,0,0
fixed_test,pork,Spot-CNN,,Sub-fresh,0,7,3
fixed_test,pork,Spot-CNN,,Spoiled,0,1,19
fixed_test,pork,Tiny-MLP,,Fresh,40,0,0
fixed_test,pork,Tiny-MLP,,Sub-fresh,0,5,5
fixed_test,pork,Tiny-MLP,,Spoiled,0,0,20
cross_validation,beef,EfficientNet-Lite0,1,Fresh,27,3,0
cross_validation,beef,EfficientNet-Lite0,1,Sub-fresh,1,9,0
cross_validation,beef,EfficientNet-Lite0,1,Spoiled,1,3,26
cross_validation,beef,EfficientNet-Lite0,2,Fresh,25,3,2
cross_validation,beef,EfficientNet-Lite0,2,Sub-fresh,1,9,0
cross_validation,beef,EfficientNet-Lite0,2,Spoiled,4,0,26
cross_validation,beef,EfficientNet-Lite0,3,Fresh,26,4,0
cross_validation,beef,EfficientNet-Lite0,3,Sub-fresh,2,8,0
cross_validation,beef,EfficientNet-Lite0,3,Spoiled,1,0,29
cross_validation,beef,EfficientNet-Lite0,4,Fresh,26,2,2
cross_validation,beef,EfficientNet-Lite0,4,Sub-fresh,0,10,0
cross_validation,beef,EfficientNet-Lite0,4,Spoiled,0,1,29
cross_validation,beef,MobileNetV3-Small,1,Fresh,27,3,0
cross_validation,beef,MobileNetV3-Small,1,Sub-fresh,1,9,0
cross_validation,beef,MobileNetV3-Small,1,Spoiled,4,2,24
cross_validation,beef,MobileNetV3-Small,2,Fresh,23,5,2
cross_validation,beef,MobileNetV3-Small,2,Sub-fresh,1,9,0
cross_validation,beef,MobileNetV3-Small,2,Spoiled,3,0,27
cross_validation,beef,MobileNetV3-Small,3,Fresh,24,5,1
cross_validation,beef,MobileNetV3-Small,3,Sub-fresh,1,9,0
cross_validation,beef,MobileNetV3-Small,3,Spoiled,5,0,25
cross_validation,beef,MobileNetV3-Small,4,Fresh,25,5,0
cross_validation,beef,MobileNetV3-Small,4,Sub-fresh,1,9,0
cross_validation,beef,MobileNetV3-Small,4,Spoiled,4,1,25
cross_validation,beef,ShuffleNetV2-0.5x,1,Fresh,28,2,0
cross_validation,beef,ShuffleNetV2-0.5x,1,Sub-fresh,0,10,0
cross_validation,beef,ShuffleNetV2-0.5x,1,Spoiled,1,1,28
cross_validation,beef,ShuffleNetV2-0.5x,2,Fresh,24,5,1
cross_validation,beef,ShuffleNetV2-0.5x,2,Sub-fresh,1,9,0
cross_validation,beef,ShuffleNetV2-0.5x,2,Spoiled,3,0,27
cross_validation,beef,ShuffleNetV2-0.5x,3,Fresh,26,3,1
cross_validation,beef,ShuffleNetV2-0.5x,3,Sub-fresh,1,9,0
cross_validation,beef,ShuffleNetV2-0.5x,3,Spoiled,2,0,28
cross_validation,beef,ShuffleNetV2-0.5x,4,Fresh,26,4,0
cross_validation,beef,ShuffleNetV2-0.5x,4,Sub-fresh,2,8,0
cross_validation,beef,ShuffleNetV2-0.5x,4,Spoiled,3,1,26
cross_validation,beef,Spot-CNN,1,Fresh,29,0,1
cross_validation,beef,Spot-CNN,1,Sub-fresh,3,7,0
cross_validation,beef,Spot-CNN,1,Spoiled,3,0,27
cross_validation,beef,Spot-CNN,2,Fresh,28,2,0
cross_validation,beef,Spot-CNN,2,Sub-fresh,1,9,0
cross_validation,beef,Spot-CNN,2,Spoiled,3,0,27
cross_validation,beef,Spot-CNN,3,Fresh,27,1,2
cross_validation,beef,Spot-CNN,3,Sub-fresh,3,6,1
cross_validation,beef,Spot-CNN,3,Spoiled,1,0,29
cross_validation,beef,Spot-CNN,4,Fresh,28,2,0
cross_validation,beef,Spot-CNN,4,Sub-fresh,0,10,0
cross_validation,beef,Spot-CNN,4,Spoiled,1,0,29
cross_validation,beef,Tiny-MLP,1,Fresh,26,2,2
cross_validation,beef,Tiny-MLP,1,Sub-fresh,2,8,0
cross_validation,beef,Tiny-MLP,1,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,2,Fresh,27,3,0
cross_validation,beef,Tiny-MLP,2,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,2,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,3,Fresh,29,1,0
cross_validation,beef,Tiny-MLP,3,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,3,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,4,Fresh,30,0,0
cross_validation,beef,Tiny-MLP,4,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,4,Spoiled,1,1,28
cross_validation,pork,EfficientNet-Lite0,1,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,1,Sub-fresh,1,9,0
cross_validation,pork,EfficientNet-Lite0,1,Spoiled,0,4,16
cross_validation,pork,EfficientNet-Lite0,2,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,2,Sub-fresh,2,6,2
cross_validation,pork,EfficientNet-Lite0,2,Spoiled,0,0,20
cross_validation,pork,EfficientNet-Lite0,3,Fresh,40,0,0
cross_validation,pork,EfficientNet-Lite0,3,Sub-fresh,0,10,0
cross_validation,pork,EfficientNet-Lite0,3,Spoiled,0,1,19
cross_validation,pork,EfficientNet-Lite0,4,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,4,Sub-fresh,0,9,1
