scope,dataset,model,fold,n_portion_day_units,accuracy,macro_precision,macro_recall,macro_f1,macro_auc
cross_validation,beef,EfficientNet-Lite0,1,70,0.8857142857142857,0.8436781609195402,0.888888888888889,0.8546085552865215,0.9638888888888889
cross_validation,beef,EfficientNet-Lite0,2,70,0.8571428571428571,0.8373015873015873,0.8666666666666667,0.8493556252176943,0.9644444444444445
cross_validation,beef,EfficientNet-Lite0,3,70,0.9,0.8544061302681992,0.8777777777777778,0.8638931689779148,0.9788888888888888
cross_validation,beef,EfficientNet-Lite0,4,70,0.9285714285714286,0.901571546732837,0.9444444444444445,0.9163187726979602,0.9955555555555556
cross_validation,beef,MobileNetV3-Small,1,70,0.8571428571428571,0.8288690476190476,0.8666666666666667,0.8366188769414576,0.965
cross_validation,beef,MobileNetV3-Small,2,70,0.8428571428571429,0.8085811591558718,0.8555555555555556,0.8240905937159283,0.9583333333333334
cross_validation,beef,MobileNetV3-Small,3,70,0.8285714285714286,0.8014652014652016,0.8444444444444446,0.8142857142857144,0.9583333333333334
cross_validation,beef,MobileNetV3-Small,4,70,0.8428571428571429,0.8111111111111112,0.8555555555555556,0.8208080808080808,0.9619444444444444
cross_validation,beef,ShuffleNetV2-0.5x,1,70,0.9428571428571428,0.9115826702033599,0.9555555555555556,0.9280783337144988,0.9913888888888889
cross_validation,beef,ShuffleNetV2-0.5x,2,70,0.8571428571428571,0.8214285714285715,0.8666666666666667,0.8362068965517241,0.9636111111111111
cross_validation,beef,ShuffleNetV2-0.5x,3,70,0.9,0.8706896551724138,0.9,0.8828967642526965,0.9755555555555556
cross_validation,beef,ShuffleNetV2-0.5x,4,70,0.8571428571428571,0.8180314309346568,0.8444444444444444,0.8255608729593048,0.9838888888888889
cross_validation,beef,Spot-CNN,1,70,0.9,0.9309523809523811,0.8555555555555555,0.882290528943673,0.9925
cross_validation,beef,Spot-CNN,2,70,0.9142857142857143,0.8977272727272728,0.9111111111111111,0.9025790282157006,0.98
cross_validation,beef,Spot-CNN,3,70,0.8857142857142857,0.8781201996927802,0.8222222222222223,0.8422040418494209,0.9866666666666667
cross_validation,beef,Spot-CNN,4,70,0.9571428571428572,0.9329501915708812,0.9666666666666667,0.9470980996404726,0.9958333333333332
cross_validation,beef,Tiny-MLP,1,70,0.8857142857142857,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9874999999999999
cross_validation,beef,Tiny-MLP,2,70,0.9285714285714286,0.9000884173297967,0.9444444444444443,0.9167788986862502,0.9816666666666668
cross_validation,beef,Tiny-MLP,3,70,0.9571428571428572,0.9481915933528837,0.9666666666666668,0.9562392886304701,0.9977777777777778
cross_validation,beef,Tiny-MLP,4,70,0.9714285714285714,0.9589442815249267,0.9777777777777779,0.967168250379104,0.9886111111111111
cross_validation,pork,EfficientNet-Lite0,1,70,0.9142857142857143,0.8726190476190476,0.8916666666666666,0.8712962962962963,0.9757222222222222
cross_validation,pork,EfficientNet-Lite0,2,70,0.9285714285714286,0.9058177594762961,0.8583333333333334,0.873742089428364,0.9558888888888889
cross_validation,pork,EfficientNet-Lite0,3,70,0.9857142857142858,0.9696969696969697,0.9833333333333334,0.9755799755799756,0.9994444444444444
cross_validation,pork,EfficientNet-Lite0,4,70,0.9285714285714286,0.8789173789173789,0.9083333333333333,0.8882291033031119,0.9812777777777778
cross_validation,pork,MobileNetV3-Small,1,70,0.9142857142857143,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.9635555555555556
cross_validation,pork,MobileNetV3-Small,2,70,0.8857142857142857,0.8220551378446115,0.8583333333333334,0.8331668331668332,0.9698888888888889
cross_validation,pork,MobileNetV3-Small,3,70,0.9428571428571428,0.8981481481481483,0.9166666666666666,0.9043062200956938,0.9732222222222222
cross_validation,pork,MobileNetV3-Small,4,70,0.8714285714285714,0.8462962962962962,0.75,0.7748366013071896,0.9458888888888889
cross_validation,pork,ShuffleNetV2-0.5x,1,70,0.9285714285714286,0.8888888888888888,0.9166666666666666,0.8857142857142857,0.9554444444444444
cross_validation,pork,ShuffleNetV2-0.5x,2,70,0.9,0.848172757475083,0.7999999999999999,0.817363571934798,0.9747777777777779
cross_validation,pork,ShuffleNetV2-0.5x,3,70,1.0,1.0,1.0,1.0,1.0
cross_validation,pork,ShuffleNetV2-0.5x,4,70,0.8857142857142857,0.8279352226720649,0.8583333333333334,0.8387216648086214,0.9252222222222223
cross_validation,pork,Spot-CNN,1,70,0.9285714285714286,0.8888888888888888,0.9333333333333332,0.8977592977592977,0.9976666666666668
cross_validation,pork,Spot-CNN,2,70,0.9571428571428572,0.9235209235209236,0.9500000000000001,0.9357038625331308,0.9988888888888888
cross_validation,pork,Spot-CNN,3,70,0.9714285714285714,0.9585365853658536,0.9499999999999998,0.9540044317822095,0.9983333333333334
cross_validation,pork,Spot-CNN,4,70,0.9285714285714286,0.8898148148148147,0.9083333333333333,0.8959728867623604,0.9942777777777777
cross_validation,pork,Tiny-MLP,1,70,0.9142857142857143,0.875,0.9249999999999999,0.883062883062883,0.9782777777777777
cross_validation,pork,Tiny-MLP,2,70,0.9571428571428572,0.9227272727272728,0.9416666666666668,0.9314948764315852,0.9968888888888889
cross_validation,pork,Tiny-MLP,3,70,0.9571428571428572,0.923076923076923,0.9500000000000001,0.9294947121034077,0.9975555555555555
cross_validation,pork,Tiny-MLP,4,70,0.9714285714285714,0.9759969028261711,0.9333333333333332,0.9507176553247013,0.9911666666666666
