dataset,model,completed_folds,accuracy_mean,accuracy_sample_sd,macro_precision_mean,macro_precision_sample_sd,macro_recall_mean,macro_recall_sample_sd,macro_f1_mean,macro_f1_sample_sd,macro_auc_mean,macro_auc_sample_sd
beef,EfficientNet-Lite0,4,0.8928571428571428,0.029738085706659093,0.8592393563055409,0.029090610919521868,0.8944444444444445,0.03454584834477342,0.8710440305450227,0.030775796067593,0.9756944444444444,0.014951051823108784
beef,MobileNetV3-Small,4,0.8428571428571429,0.011664236870396045,0.8125066298378081,0.011647584137873429,0.8555555555555556,0.009072184232530258,0.8239508164377953,0.009377104767470761,0.9609027777777778,0.0032185083961823167
beef,ShuffleNetV2-0.5x,4,0.8892857142857142,0.04103259033241447,0.8554330819347505,0.04449992330326045,0.8916666666666667,0.04832588278037,0.868185716869556,0.0470569255793363,0.9786111111111111,0.011908861727903373
beef,Spot-CNN,4,0.9142857142857143,0.03086066999241838,0.9099375112358288,0.026662329503566198,0.8888888888888888,0.06350528962771203,0.8935429246623168,0.04363525039939452,0.98875,0.006955546680860485
beef,Tiny-MLP,4,0.9357142857142857,0.03779644730092273,0.9184727397185685,0.04298452617812963,0.9388888888888889,0.050102775031365544,0.9267132760906227,0.04550705996110398,0.9888888888888889,0.0066628075250021925
pork,EfficientNet-Lite0,4,0.9392857142857143,0.03167651118011921,0.906762788927423,0.04435751014562703,0.9104166666666667,0.052869073085206365,0.9022118661519369,0.04947961797252219,0.9780833333333333,0.017931998894772948
pork,MobileNetV3-Small,4,0.9035714285714286,0.031676511180119216,0.8582915622389307,0.032226566020567865,0.8479166666666667,0.0701766949814432,0.8447440803090958,0.05492217694264731,0.9631388888888889,0.012178837139648182
pork,ShuffleNetV2-0.5x,4,0.9285714285714286,0.05084322977157767,0.8912492172590092,0.07680396516427349,0.89375,0.0853573642378303,0.8854498806144263,0.08152928174040194,0.9638611111111112,0.03156473197299081
pork,Spot-CNN,4,0.9464285714285714,0.021428571428571432,0.9151903031476202,0.03308564249582478,0.9354166666666666,0.01969089844271921,0.9208601197092496,0.02870484548136652,0.9972916666666667,0.00207045401672945
pork,Tiny-MLP,4,0.95,0.024743582965269715,0.9242002746575917,0.04125929943449943,0.9375,0.010758287072798463,0.9236925317306444,0.028726686408576865,0.9909722222222221,0.008935583372436447
