scope,dataset,model,fold,total_portion_day_groups,fully_consistent_groups,consistency_percent,two_to_one_disagreement,three_way_disagreement
fixed_test,beef,Spot-CNN,,70,62,88.57142857142857,7,1
fixed_test,beef,ShuffleNetV2-0.5x,,70,57,81.42857142857143,13,0
fixed_test,beef,EfficientNet-Lite0,,70,58,82.85714285714286,11,1
fixed_test,beef,MobileNetV3-Small,,70,52,74.28571428571429,17,1
fixed_test,beef,Tiny-MLP,,70,67,95.71428571428572,3,0
fixed_test,pork,Spot-CNN,,70,69,98.57142857142858,1,0
fixed_test,pork,ShuffleNetV2-0.5x,,70,64,91.42857142857143,6,0
fixed_test,pork,EfficientNet-Lite0,,70,69,98.57142857142858,1,0
fixed_test,pork,MobileNetV3-Small,,70,66,94.28571428571428,3,1
fixed_test,pork,Tiny-MLP,,70,70,100.0,0,0
cross_validation,beef,Spot-CNN,1.0,70,66,94.28571428571428,4,0
cross_validation,beef,ShuffleNetV2-0.5x,1.0,70,54,77.14285714285715,16,0
cross_validation,beef,EfficientNet-Lite0,1.0,70,58,82.85714285714286,10,2
cross_validation,beef,MobileNetV3-Small,1.0,70,54,77.14285714285715,16,0
cross_validation,beef,Tiny-MLP,1.0,70,67,95.71428571428572,3,0
cross_validation,beef,Spot-CNN,2.0,70,68,97.14285714285714,2,0
cross_validation,beef,ShuffleNetV2-0.5x,2.0,70,62,88.57142857142857,8,0
cross_validation,beef,EfficientNet-Lite0,2.0,70,61,87.14285714285714,9,0
cross_validation,beef,MobileNetV3-Small,2.0,70,61,87.14285714285714,9,0
cross_validation,beef,Tiny-MLP,2.0,70,68,97.14285714285714,2,0
cross_validation,beef,Spot-CNN,3.0,70,64,91.42857142857143,6,0
cross_validation,beef,ShuffleNetV2-0.5x,3.0,70,50,71.42857142857143,20,0
cross_validation,beef,EfficientNet-Lite0,3.0,70,60,85.71428571428571,10,0
cross_validation,beef,MobileNetV3-Small,3.0,70,55,78.57142857142857,14,1
cross_validation,beef,Tiny-MLP,3.0,70,68,97.14285714285714,2,0
cross_validation,beef,Spot-CNN,4.0,70,67,95.71428571428572,3,0
cross_validation,beef,ShuffleNetV2-0.5x,4.0,70,58,82.85714285714286,12,0
cross_validation,beef,EfficientNet-Lite0,4.0,70,51,72.85714285714285,18,1
cross_validation,beef,MobileNetV3-Small,4.0,70,59,84.28571428571429,10,1
cross_validation,beef,Tiny-MLP,4.0,70,69,98.57142857142858,1,0
cross_validation,pork,Spot-CNN,1.0,70,69,98.57142857142858,1,0
cross_validation,pork,ShuffleNetV2-0.5x,1.0,70,60,85.71428571428571,10,0
cross_validation,pork,EfficientNet-Lite0,1.0,70,64,91.42857142857143,6,0
cross_validation,pork,MobileNetV3-Small,1.0,70,61,87.14285714285714,8,1
cross_validation,pork,Tiny-MLP,1.0,70,69,98.57142857142858,1,0
cross_validation,pork,Spot-CNN,2.0,70,69,98.57142857142858,1,0
cross_validation,pork,ShuffleNetV2-0.5x,2.0,70,61,87.14285714285714,8,1
cross_validation,pork,EfficientNet-Lite0,2.0,70,62,88.57142857142857,8,0
cross_validation,pork,MobileNetV3-Small,2.0,70,62,88.57142857142857,8,0
cross_validation,pork,Tiny-MLP,2.0,70,69,98.57142857142858,1,0
cross_validation,pork,Spot-CNN,3.0,70,69,98.57142857142858,1,0
cross_validation,pork,ShuffleNetV2-0.5x,3.0,70,58,82.85714285714286,12,0
cross_validation,pork,EfficientNet-Lite0,3.0,70,63,90.0,7,0
cross_validation,pork,MobileNetV3-Small,3.0,70,60,85.71428571428571,10,0
cross_validation,pork,Tiny-MLP,3.0,70,68,97.14285714285714,2,0
cross_validation,pork,Spot-CNN,4.0,70,69,98.57142857142858,1,0
cross_validation,pork,ShuffleNetV2-0.5x,4.0,70,62,88.57142857142857,7,1
cross_validation,pork,EfficientNet-Lite0,4.0,70,64,91.42857142857143,6,0
cross_validation,pork,MobileNetV3-Small,4.0,70,63,90.0,7,0
cross_validation,pork,Tiny-MLP,4.0,70,68,97.14285714285714,2,0
